age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40,services,1,high.school,0,1,0,telephone,oct,tue,144,1,999,1,0,-0.1,93.798,-40.4,4.968,5195.8,1
36,admin.,1,university.degree,0,1,0,telephone,nov,wed,449,1,999,1,0,-0.1,93.2,-42,4.663,5195.8,0
36,admin.,1,high.school,0,1,0,telephone,nov,wed,114,1,999,1,0,-0.1,93.2,-42,4.286,5195.8,1
37,admin.,1,university.degree,0,1,0,telephone,nov,wed,119,1,6,1,1,-0.1,93.2,-42,4.286,5195.8,0
29,self-employed,1,university.degree,0,1,0,telephone,nov,thu,86,1,999,1,0,-0.1,93.2,-42,4.245,5195.8,0
42,technician,0,professional.course,0,0,0,cellular,nov,mon,200,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
34,admin.,0,high.school,0,0,0,cellular,nov,mon,303,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
44,management,1,university.degree,0,1,0,cellular,nov,mon,130,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
52,admin.,1,university.degree,0,1,1,cellular,nov,mon,161,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
41,entrepreneur,1,university.degree,0,1,0,cellular,nov,mon,163,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
44,retired,0,basic.9y,0,0,0,cellular,nov,mon,115,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
36,unemployed,0,high.school,0,1,1,cellular,nov,mon,68,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
50,entrepreneur,1,university.degree,0,0,0,cellular,nov,mon,134,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
41,admin.,1,high.school,0,0,0,cellular,nov,mon,297,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
43,services,1,basic.4y,0,0,0,cellular,nov,mon,75,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
31,technician,0,university.degree,0,1,0,cellular,nov,mon,396,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,admin.,1,university.degree,0,1,0,cellular,nov,mon,44,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,self-employed,1,university.degree,0,0,0,cellular,nov,mon,85,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
48,blue-collar,0,professional.course,0,1,0,cellular,nov,mon,219,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
41,management,1,university.degree,0,1,0,cellular,nov,mon,155,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,housemaid,1,basic.9y,0,1,0,cellular,nov,mon,130,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
36,technician,1,high.school,0,1,0,cellular,nov,mon,38,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
36,entrepreneur,0,university.degree,0,1,0,cellular,nov,mon,160,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,unemployed,1,professional.course,0,1,0,cellular,nov,mon,483,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
48,management,1,university.degree,0,1,0,cellular,nov,mon,112,1,4,1,1,-0.1,93.2,-42,4.191,5195.8,0
45,admin.,1,high.school,0,1,0,cellular,nov,mon,58,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,blue-collar,1,basic.9y,0,1,0,cellular,nov,mon,119,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,unemployed,1,university.degree,0,0,0,cellular,nov,mon,90,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
40,blue-collar,1,professional.course,0,0,1,cellular,nov,mon,80,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
50,technician,1,high.school,0,0,0,cellular,nov,mon,93,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,entrepreneur,1,high.school,0,1,0,telephone,nov,mon,164,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,technician,1,professional.course,0,1,0,cellular,nov,mon,61,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,technician,1,professional.course,0,1,0,cellular,nov,mon,110,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
40,blue-collar,1,basic.9y,0,0,0,cellular,nov,mon,215,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
52,management,0,university.degree,0,1,0,cellular,nov,mon,161,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
53,self-employed,1,basic.9y,0,1,0,cellular,nov,mon,169,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
47,admin.,1,university.degree,0,1,0,cellular,nov,mon,138,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
56,management,1,professional.course,0,0,0,cellular,nov,mon,74,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
43,technician,1,professional.course,0,1,0,cellular,nov,mon,190,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,technician,1,high.school,0,0,0,cellular,nov,mon,103,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
52,management,0,university.degree,0,1,0,cellular,nov,mon,89,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
42,admin.,1,high.school,0,0,0,cellular,nov,mon,651,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,1
43,blue-collar,0,basic.4y,0,1,0,cellular,nov,mon,42,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
50,blue-collar,1,basic.9y,0,1,1,cellular,nov,mon,186,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
37,unemployed,1,high.school,0,0,0,cellular,nov,mon,55,2,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
32,admin.,0,university.degree,0,0,0,cellular,nov,mon,137,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
47,admin.,0,professional.course,0,0,0,cellular,nov,mon,104,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
45,entrepreneur,1,high.school,0,0,0,cellular,nov,mon,623,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
39,management,1,university.degree,0,0,0,cellular,nov,mon,71,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
38,admin.,0,basic.9y,0,1,0,cellular,nov,mon,1081,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
46,admin.,1,high.school,0,0,0,cellular,nov,mon,504,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
53,services,1,high.school,0,0,0,cellular,nov,mon,166,1,999,1,0,-0.1,93.2,-42,4.191,5195.8,0
